animal_id,ADFI_raw,ADFI_g,total_feed_g,test_days,adfi_diff,adfi_diff_pct
998-022090346038,2802,2724.26927815983,177077.503080389,65,-77.7307218401657,-2.77411569736494
998-022090346504,2872.30379746835,2836.44276682197,224078.978578935,79,-35.861030646387,-1.24851106202606
998-022090346514,2713.17910447761,2652.85420879096,177741.231988994,67,-60.3248956866551,-2.22340263446301
998-024121040010,3127.40506329114,2979.55737122476,238364.589697981,80,-147.847692066377,-4.72748777578523
998-024121040042,2727.12658227848,2666.74412266055,210672.785690183,79,-60.3824596179361,-2.21414216744891
998-024121040043,3262.225,3196.06597684194,255685.278147355,80,-66.1590231580644,-2.02803372416263
998-024121040048,3067.51898734177,2977.54648630515,238203.718904412,80,-89.9725010366192,-2.93307071310378
998-024121040049,3025.8375,2894.27644243818,231542.115395055,80,-131.561057561816,-4.34792210625375
998-024121040055,2745.94936708861,2725.31344554695,218025.075643756,80,-20.6359215416569,-0.751504080482596
998-024121040059,2893.80769230769,2853.46708726518,222570.432806684,78,-40.3406050425097,-1.39403199285643
998-024121040076,2992.67088607595,2906.41841429411,232513.473143529,80,-86.2524717818392,-2.88212352995939
998-024121040100,2729.54430379747,2689.98277839301,212508.639493047,79,-39.5615254044637,-1.44938205800228
998-024121057122,2860.88607594937,2786.34532928647,222907.626342918,80,-74.5407466628944,-2.60551258190729
998-024121057123,2858.725,2808.25608372923,224660.486698338,80,-50.468916270775,-1.76543446014482
998-024121057137,2910.42307692308,2933.44097437774,228808.396001464,78,23.0178974546607,0.79087805608645
998-024121057138,2948.65,2928.55949084552,234284.759267642,80,-20.0905091544773,-0.681346011038181
998-024121057148,3098.525,3000.88240878174,240070.592702539,80,-97.6425912182649,-3.15126039706844
998-024121057155,2772.57142857143,2676.6125199715,187362.876398005,70,-95.9589085999319,-3.4610076267494
998-024121057162,2882.35443037975,2799.19944374694,223935.955499755,80,-83.1549866328087,-2.88496743344132
998-024121057191,2958.7875,2903.12013330731,232249.610664585,80,-55.6673666926895,-1.88142496521597
998-024121057196,2770.65789473684,2694.1743987503,210145.603102523,78,-76.4834959865475,-2.76048140522278
998-024121057198,2941.46835443038,2846.57881651573,224879.726504743,79,-94.8895379146479,-3.22592414675233
998-024121057218,2828.08860759494,2772.98873874337,219066.110360726,79,-55.0998688515701,-1.94830772641272
998-024121057233,2856.89552238806,2813.31254214614,188491.940323791,67,-43.5829802419248,-1.52553636982476
998-024121057236,2412.4875,2389.32248752738,191145.799002191,80,-23.1650124726175,-0.960212746081275
998-024121057270,3278.05,3215.87604221311,257270.083377049,80,-62.1739577868871,-1.89667508997383
998-024121057281,2811.0625,2654.17956166563,212334.364933251,80,-156.882938334367,-5.58091249605326
998-024121057289,3115.79104477612,3135.39955304981,210071.770054337,67,19.6085082736909,0.629326806319896
998-024121057404,2766.03846153846,2649.36423576093,206650.410389353,78,-116.674225777531,-4.21809846102565
998-024121057406,2880.2625,2845.36044135747,227628.835308597,80,-34.902058642534,-1.21176658872356
998-024121057418,3083.79487179487,3010.17212416122,234793.425684575,78,-73.6227476336526,-2.38740742151898
998-024121057422,2308.65384615385,2264.6294401226,176641.096329562,78,-44.0244060312507,-1.90692970730948
998-024121057426,2603.90196078431,,,,,
998-024121057436,3091.325,3041.36691744149,243309.353395319,80,-49.9580825585076,-1.61607344936257
998-024121057443,2534.3875,,,,,
998-024121057451,2768.55128205128,2766.03764827013,215750.93656507,78,-2.51363378115002,-0.0907923865252592
998-024121057481,2411.05063291139,2404.67807814944,189969.568173806,79,-6.37255476194832,-0.264306135879583
998-024121057504,2505.8125,2484.36003685639,198748.802948511,80,-21.4524631436148,-0.856108074471444
998-024121057513,2613.97435897436,2552.92697491284,199128.304043201,78,-61.0473840615209,-2.33542398195038
998-024121057578,2118.40983606557,2022.42603039597,127412.839914946,63,-95.983805669606,-4.53093655606662
998-024121057590,2787.05454545455,2744.54677831698,150950.072807434,55,-42.5077671375684,-1.52518605015804
998-025041260706,7708.78205128205,2312.42542331849,180369.183018842,78,-5396.35662796356,-70.0027136850508
998-025041260863,2485.04166666667,,,,,
998-025041260879,2723.46153846154,2591.35145171749,204716.764685682,79,-132.110086744047,-4.85081521726482
998-025041260886,2338.7,2176.60759940507,174128.607952405,80,-162.092400594933,-6.9308761532019
998-025041271603,3042.62025316456,2941.31268650769,235305.014920615,80,-101.307566656868,-3.32961586486187
998-025041271616,3179.41772151899,2945.4850162769,232693.316285875,79,-233.932705242087,-7.35772162489941
998-025041271634,2343.57692307692,,,,,
998-025041272213,2821.09333333333,2701.83650258871,210743.247201919,78,-119.256830744627,-4.22732666571213
998-025041272235,2440.97959183673,2442.91667846144,119702.917244611,49,1.93708662470772,0.0793569365014699
998-025041272442,3157.76470588235,3124.68970569039,212478.899986946,68,-33.0750001919641,-1.0474181350609
998-025041272450,2532.52777777778,2468.27867307318,177716.064461269,72,-64.2491047045969,-2.53695557728388
