rate,variant,label,accuracy,bias,coverage,adfi_r,adfi_rho,na_days
0.05,E_inj,E_污染不校正,0.9411,-0.0098,1,0.9967,0.995,0
0.05,G_cens,G_A路径+删失EM复活,0.8596,-0.1128,0.8976,0.942,0.9286,2130
0.05,C0,C0_置零不补偿,0.8248,-0.1581,0.8968,0.9346,0.9204,2146
0.05,A,A_记录级物理纠正(出厂默认),0.8552,-0.1179,0.8975,0.9434,0.9296,2131
0.05,L,"L_文献LMM(Jiao2014, 可选增强)",0.7968,-0.1868,0.8852,0.9374,0.9257,2388
0.05,Ln,Ln_文献LMM但不截尾,0.7968,-0.1868,0.8852,0.9374,0.9257,2388
0.1,E_inj,E_污染不校正,0.8951,-0.0186,1,0.994,0.9927,0
0.1,G_cens,G_A路径+删失EM复活,0.7474,-0.2029,0.8107,0.789,0.7815,3936
0.1,C0,C0_置零不补偿,0.7185,-0.2512,0.8097,0.7785,0.7704,3957
0.1,A,A_记录级物理纠正(出厂默认),0.7403,-0.2118,0.8103,0.7957,0.7868,3945
0.1,L,"L_文献LMM(Jiao2014, 可选增强)",0.6872,-0.2849,0.7954,0.7906,0.7819,4255
0.1,Ln,Ln_文献LMM但不截尾,0.6872,-0.2849,0.7954,0.7906,0.7819,4255
0.2,E_inj,E_污染不校正,0.819,-0.0382,1,0.9875,0.9869,0
0.2,G_cens,G_A路径+删失EM复活,0.5664,-0.353,0.6606,0.5961,0.5525,7059
0.2,C0,C0_置零不补偿,0.5417,-0.4071,0.6595,0.5785,0.5368,7082
0.2,A,A_记录级物理纠正(出厂默认),0.5559,-0.3688,0.6601,0.6022,0.5635,7069
0.2,L,"L_文献LMM(Jiao2014, 可选增强)",0.5019,-0.4548,0.6371,0.6055,0.5683,7546
0.2,Ln,Ln_文献LMM但不截尾,0.5019,-0.4548,0.6371,0.6055,0.5683,7546
