inj_types,ratio_mean,n_days,rate,variant
inflate,1.1,4381,0.05,E_inj
negate,0.808,2122,0.05,E_inj
zero,0.908,3629,0.05,E_inj
inflate,0.943,4381,0.05,G_cens
negate,0,2122,0.05,G_cens
zero,0.835,3629,0.05,G_cens
inflate,0.857,4381,0.05,C0
negate,0,2122,0.05,C0
zero,0.776,3629,0.05,C0
inflate,0.938,4381,0.05,A
negate,0,2122,0.05,A
zero,0.803,3629,0.05,A
inflate,0.808,4381,0.05,L
negate,0,2122,0.05,L
zero,0.683,3629,0.05,L
inflate,0.808,4381,0.05,Ln
negate,0,2122,0.05,Ln
zero,0.683,3629,0.05,Ln
inflate,1.082,7748,0.1,E_inj
zero,0.898,6310,0.1,E_inj
negate,0.811,3922,0.1,E_inj
inflate,0.841,7748,0.1,G_cens
zero,0.726,6310,0.1,G_cens
negate,0,3922,0.1,G_cens
inflate,0.761,7748,0.1,C0
zero,0.667,6310,0.1,C0
negate,0,3922,0.1,C0
inflate,0.834,7748,0.1,A
zero,0.694,6310,0.1,A
negate,0,3922,0.1,A
inflate,0.71,7748,0.1,L
zero,0.577,6310,0.1,L
negate,0,3922,0.1,L
inflate,0.71,7748,0.1,Ln
zero,0.577,6310,0.1,Ln
negate,0,3922,0.1,Ln
inflate,1.053,12101,0.2,E_inj
zero,0.891,10454,0.2,E_inj
negate,0.799,7033,0.2,E_inj
inflate,0.693,12101,0.2,G_cens
zero,0.606,10454,0.2,G_cens
negate,0,7033,0.2,G_cens
inflate,0.622,12101,0.2,C0
zero,0.541,10454,0.2,C0
negate,0,7033,0.2,C0
inflate,0.679,12101,0.2,A
zero,0.569,10454,0.2,A
negate,0,7033,0.2,A
inflate,0.56,12101,0.2,L
zero,0.439,10454,0.2,L
negate,0,7033,0.2,L
inflate,0.56,12101,0.2,Ln
zero,0.439,10454,0.2,Ln
negate,0,7033,0.2,Ln
