device,pattern,arm,kind,k,bs,family,span,degree,min_valid,rate_realised,acc,bias,coverage,adfi_r,acc_affected,n_interior,n_outward_days,acc_interior,acc_outward,n_na_days,n_gap,n_smooth,n_fallback,n_self_extrap,n_negative_pred,mean_edf,mean_span_pts,n_branch_gam,n_branch_fcr,n_branch_skip,n_fit_failed,runtime_s
FIRE,14d,gam_k15_cr_gamma,gam_pure,15,cr,Gamma,,,10,0.0996489203097196,0.973968631909825,-0.00403168759338021,1,0.990625088962934,0.746632983230369,2016,56,0.749110071247765,0.641395736558162,0,2375,2375,0,56,0,4.57014820820434,,189,0,0,0,6.65515470504761
FIRE,14d,gam_k15_cr_gauss,gam_pure,15,cr,gaussian,,,10,0.0996489203097196,0.974792790124337,-0.00515394183861833,1,0.991473503495614,0.754654632627885,2016,56,0.766287343127038,0.260447557356987,0,2375,2375,0,56,15,4.50706389652735,,189,0,0,0,5.56017255783081
FIRE,14d,gam_k15_ps_gauss,gam_pure,15,ps,gaussian,,,10,0.0996489203097196,0.974785794291557,-0.00477738137920838,1,0.991431230623883,0.754586541190076,2016,56,0.767589551372836,0.202163300483894,0,2375,2375,0,56,18,4.14731355983048,,189,0,0,0,5.46901774406433
FIRE,14d,gam_k15_tp_gauss,gam_pure,15,tp,gaussian,,,10,0.0996489203097196,0.975044020575834,-0.00454117256780907,1,0.992209119721936,0.757099894428837,2016,56,0.767987466448699,0.294549474633819,0,2375,2375,0,56,13,4.42442101477217,,189,0,0,0,5.31845951080322
FIRE,14d,gam_k3_cr_gauss,gam_pure,3,cr,gaussian,,,10,0.0996489203097196,0.976414461953104,-0.00340979888058122,1,0.995524426594912,0.770438595730045,2016,56,0.772684745851989,0.675012574213715,0,2375,2375,0,56,11,1.82536685002286,,189,0,0,0,6.70005941390991
FIRE,14d,gam_k3_ps_gauss,gam_pure,3,ps,gaussian,,,10,0.0996489203097196,0.963837901451436,-0.00238503333799292,1,0.978521687344495,0.648029139396737,2016,56,0.656214869277736,0.300264478379798,0,2375,0,2375,56,0,,,0,0,0,189,0.838006973266602
FIRE,14d,gam_k3_tp_gauss,gam_pure,3,tp,gaussian,,,10,0.0996489203097196,0.976467938800783,-0.0030905646589067,1,0.995512040226538,0.770959093512396,2016,56,0.773302474516558,0.671402290100444,0,2375,2375,0,56,11,1.82474732074482,,189,0,0,0,5.90944910049439
FIRE,14d,gam_k6_cr_gamma,gam_pure,6,cr,Gamma,,,10,0.0996489203097196,0.975682061866172,-0.00451702054309778,1,0.993969194488987,0.763310041269711,2016,56,0.765186016227452,0.683610636972302,0,2375,2375,0,56,0,3.46830986228139,,189,0,0,0,6.18839693069458
FIRE,14d,gam_k6_cr_gauss,gam_pure,6,cr,gaussian,,,10,0.0996489203097196,0.97666841536558,-0.00327764970340381,1,0.995557843465864,0.772910360498399,2016,56,0.774789338398112,0.693083378439218,0,2375,2375,0,56,1,3.43062359065319,,189,0,0,0,4.77427983283997
FIRE,14d,gam_k6_ps_gauss,gam_pure,6,ps,gaussian,,,10,0.0996489203097196,0.97644828776016,-0.00233107582862948,1,0.995056512138024,0.770767827132471,2016,56,0.773338802285952,0.661541855138368,0,2375,2375,0,56,1,2.97849002083801,,189,0,0,0,5.25873041152954
FIRE,14d,gam_k6_tp_gauss,gam_pure,6,tp,gaussian,,,10,0.0996489203097196,0.976550374973432,-0.00317161291604978,1,0.995366071429603,0.771761456533263,2016,56,0.77355605494685,0.695519274341147,0,2375,2375,0,56,1,3.41216596904878,,189,0,0,0,5.53982377052307
FIRE,14d,loess_s0.30_d1,pure,,,,0.3,1,,0.0996489203097196,0.974566014103238,-0.0036134421171507,1,0.993181576411523,0.752447389284327,2016,56,0.762996057258737,0.304295056428093,0,2375,2319,56,0,,,26.4650793650794,0,0,0,0,0.373487234115601
FIRE,14d,loess_s0.30_d2,pure,,,,0.3,2,,0.0996489203097196,0.974248094692034,-0.00214819403045054,1,0.992394617910789,0.749353034331067,2016,56,0.759828866975604,0.304295056428093,0,2375,2319,56,0,,,26.4650793650794,0,0,0,0,0.376254796981812
FIRE,14d,loess_s0.50_d1,pure,,,,0.5,1,,0.0996489203097196,0.975444680544581,-0.00496324241084603,1,0.994483707188721,0.760999575024523,2016,56,0.771749545460652,0.304295056428093,0,2375,2319,56,0,,,44.1084656084656,0,0,0,0,0.347364902496338
FIRE,14d,loess_s0.50_d2,pure,,,,0.5,2,,0.0996489203097196,0.975224934397799,-0.00301093834254273,1,0.993716150045355,0.758860754449898,2016,56,0.769560381048799,0.304295056428093,0,2375,2319,56,0,,,44.1084656084656,0,0,0,0,0.377813339233398
FIRE,14d,loess_s0.75_d1,pure,,,,0.75,1,,0.0996489203097196,0.975459327092223,-0.00540262778565728,1,0.994687987867285,0.761142131960801,2016,56,0.771962614696769,0.301441950618626,0,2375,2319,56,0,,,66.1626984126984,0,0,0,0,0.368299007415772
FIRE,14d,loess_s0.75_d2,pure,,,,0.75,2,,0.0996489203097196,0.975745878195084,-0.00288085991179942,1,0.994274370235819,0.763931174696949,2016,56,0.774750149507954,0.304295056428093,0,2375,2319,56,0,,,66.1626984126984,0,0,0,0,0.373971462249756
