device,pattern,arm,kind,k,bs,family,span,degree,min_valid,rate_realised,acc,bias,coverage,adfi_r,acc_affected,n_interior,n_outward_days,acc_interior,acc_outward,n_na_days,n_gap,n_smooth,n_fallback,n_self_extrap,n_negative_pred,mean_edf,mean_span_pts,n_branch_gam,n_branch_fcr,n_branch_skip,n_fit_failed,runtime_s
NEDAP,14d,gam_k15_cr_gamma,gam_pure,15,cr,Gamma,,,10,0.0955459770114943,0.985413220297347,0.0005563916212863,1,0.990392422718352,0.843154313199734,266,0,0.843154313199734,,0,267,267,0,0,0,2.38260869873161,,20,0,0,0,0.702584981918335
NEDAP,14d,gam_k15_cr_gauss,gam_pure,15,cr,gaussian,,,10,0.0955459770114943,0.985613197006323,0.0011064488790025,1,0.990668709202801,0.845304581106894,266,0,0.845304581106894,,0,267,267,0,0,0,2.25707306014341,,20,0,0,0,0.607410907745361
NEDAP,14d,gam_k15_ps_gauss,gam_pure,15,ps,gaussian,,,10,0.0955459770114943,0.985606937210679,0.00111402385663466,1,0.990600492655962,0.845237272080024,266,0,0.845237272080024,,0,267,267,0,0,0,2.21065168630556,,20,0,0,0,0.602057933807373
NEDAP,14d,gam_k15_tp_gauss,gam_pure,15,tp,gaussian,,,10,0.0955459770114943,0.985619749729384,0.0011624378009822,1,0.990694729753161,0.845375039862694,266,0,0.845375039862694,,0,267,267,0,0,0,2.26683297232775,,20,0,0,0,0.591635704040527
NEDAP,14d,gam_k3_cr_gauss,gam_pure,3,cr,gaussian,,,10,0.0955459770114943,0.985052478427657,0.00107758934777354,1,0.989232722174817,0.839275403154984,266,0,0.839275403154984,,0,267,267,0,0,0,1.611896408,,20,0,0,0,0.712199687957764
NEDAP,14d,gam_k3_ps_gauss,gam_pure,3,ps,gaussian,,,10,0.0955459770114943,0.979387115935237,0.00373413156969265,1,0.955875066488363,0.778358073270693,266,0,0.778358073270693,,0,267,0,267,0,0,,,0,0,0,20,0.106069087982178
NEDAP,14d,gam_k3_tp_gauss,gam_pure,3,tp,gaussian,,,10,0.0955459770114943,0.985030752923634,0.00133046015239056,1,0.989046689003464,0.8390417976801,266,0,0.8390417976801,,0,267,267,0,0,0,1.60818752062744,,20,0,0,0,0.566767930984497
NEDAP,14d,gam_k6_cr_gamma,gam_pure,6,cr,Gamma,,,10,0.0955459770114943,0.985172309028226,-0.00000739296879875114,1,0.98910115382369,0.840563892679686,266,0,0.840563892679686,,0,267,267,0,0,0,2.22629113360753,,20,0,0,0,0.59803318977356
NEDAP,14d,gam_k6_cr_gauss,gam_pure,6,cr,gaussian,,,10,0.0955459770114943,0.985409787641764,0.000570052458480179,1,0.989643301230984,0.8431174032557,266,0,0.8431174032557,,0,267,267,0,0,0,2.12681207267375,,20,0,0,0,0.625949621200562
NEDAP,14d,gam_k6_ps_gauss,gam_pure,6,ps,gaussian,,,10,0.0955459770114943,0.985472299817869,0.00161894005613479,1,0.990575908787231,0.843789571163521,266,0,0.843789571163521,,0,267,267,0,0,0,1.93233743973322,,20,0,0,0,0.499888181686401
NEDAP,14d,gam_k6_tp_gauss,gam_pure,6,tp,gaussian,,,10,0.0955459770114943,0.985441179235854,0.000782924077262357,1,0.99011103141992,0.843454944250709,266,0,0.843454944250709,,0,267,267,0,0,0,2.12919360725764,,20,0,0,0,0.520295381546021
NEDAP,14d,loess_s0.30_d1,pure,,,,0.3,1,,0.0955459770114943,0.983524832435157,-0.000346503323842511,1,0.98133700900907,0.822849249489438,266,0,0.822849249489438,,0,267,267,0,0,,,15.675,0,0,0,0,0.0432446002960205
NEDAP,14d,loess_s0.30_d2,pure,,,,0.3,2,,0.0955459770114943,0.980922880389977,-0.00277924825097878,1,0.964747212128739,0.794871521446183,266,0,0.794871521446183,,0,267,267,0,0,,,15.675,0,0,0,0,0.0444872379302979
NEDAP,14d,loess_s0.50_d1,pure,,,,0.5,1,,0.0955459770114943,0.984492725312025,0.00136866037106686,1,0.98622021117517,0.833256606432918,266,0,0.833256606432918,,0,267,267,0,0,,,26.125,0,0,0,0,0.0465805530548096
