device,pattern,arm,kind,span,degree,rate_realised,mean_span_pts,acc,bias,coverage,adfi_r,acc_affected,n_gap,n_loess,n_fallback,n_branch_loess,n_branch_fcr,n_branch_skip,n_fit_failed,n_na_days,runtime_s
FIRE,14d,prod,prod,0.3,2,0.0996489203097196,27.7105263157895,0.964042599348523,-0.00273313383636683,1,0.979008779980931,0.650021493211733,2375,,,38,151,22,0,0,2.22244739532471
FIRE,14d,pure_s0.10_d1,pure,0.1,1,0.0996489203097196,8.82169312169312,0.968288555481781,-0.00111971847786677,1,0.985497084832273,0.691347989579181,2375,2319,56,189,0,0,0,0,0.420149087905884
FIRE,14d,pure_s0.10_d2,pure,0.1,2,0.0996489203097196,8.82169312169312,0.955926283319757,0.00618538565408557,1,0.964892283430069,0.571024232205532,2375,2319,56,189,0,0,0,0,0.384891033172607
FIRE,14d,pure_s0.20_d1,pure,0.2,1,0.0996489203097196,17.6433862433862,0.9727494513876,-0.00245099940037326,1,0.990846593180873,0.734766525395738,2375,2319,56,189,0,0,0,0,0.364862442016602
FIRE,14d,pure_s0.20_d2,pure,0.2,2,0.0996489203097196,17.6433862433862,0.969645697187625,-0.000594750720178285,1,0.985267000952121,0.704557243282334,2375,2319,56,189,0,0,0,0,0.352655172348022
FIRE,14d,pure_s0.30_d1,pure,0.3,1,0.0996489203097196,26.4650793650794,0.974566014103238,-0.0036134421171507,1,0.993181576411523,0.752447389284327,2375,2319,56,189,0,0,0,0,0.343301296234131
FIRE,14d,pure_s0.30_d2,pure,0.3,2,0.0996489203097196,26.4650793650794,0.974248094692034,-0.00214819403045054,1,0.992394617910789,0.749353034331067,2375,2319,56,189,0,0,0,0,0.371401786804199
FIRE,14d,pure_s0.50_d1,pure,0.5,1,0.0996489203097196,44.1084656084656,0.975444680544581,-0.00496324241084603,1,0.994483707188721,0.760999575024523,2375,2319,56,189,0,0,0,0,0.324161052703857
FIRE,14d,pure_s0.50_d2,pure,0.5,2,0.0996489203097196,44.1084656084656,0.975224934397799,-0.00301093834254273,1,0.993716150045355,0.758860754449898,2375,2319,56,189,0,0,0,0,0.356588125228882
FIRE,14d,pure_s0.75_d1,pure,0.75,1,0.0996489203097196,66.1626984126984,0.975459327092223,-0.00540262778565728,1,0.994687987867285,0.761142131960801,2375,2319,56,189,0,0,0,0,0.331264972686768
FIRE,14d,pure_s0.75_d2,pure,0.75,2,0.0996489203097196,66.1626984126984,0.975745878195084,-0.00288085991179942,1,0.994274370235819,0.763931174696949,2375,2319,56,189,0,0,0,0,0.34044337272644
FIRE,14d,pure_s1.00_d1,pure,1,1,0.0996489203097196,88.2169312169312,0.975015051594526,-0.00565270510648705,1,0.994259720167061,0.756817935203817,2375,2319,56,189,0,0,0,0,0.332473754882813
FIRE,14d,pure_s1.00_d2,pure,1,2,0.0996489203097196,88.2169312169312,0.975883902291513,-0.00288127111474731,1,0.994555380242669,0.765274582904822,2375,2319,56,189,0,0,0,0,0.339408874511719
FIRE,14d,raw_zero_s0.30_d2,raw_zero,0.3,2,0.0996489203097196,29.2842857142857,0.897258260281594,-0.102741739718407,1,0.919597904969497,0,303,303,0,140,0,0,0,0,0.275715827941895
