"animal_number","lifenumber","responder","location","visit_time","duration","state","weight","feed_intake"
"70639126","ID090","9.82091E+14","1706","2022/11/09 00:06","380","0","59500","113"
"70639121","ID064","982091101339121a","1706","2022/11/09 00:14","350","0","36000","228"
"70621256","ID072","9.82091E+14","1706","2022/11/09 00:37","132","0","35500","2"
"70621256","ID072","9.82091E+14","1706","2022/11/09 01:21","763","0","35500","285"
"70634874","ID065","9.82091E+14","1706","2022/11/09 01:36","466","0","35500","172"
"70639192","ID038","9.82091E+14","1706","2022/11/09 01:48","805","0","39500","210"
"70639173","ID054","9.82091E+14","1706","2022/11/09 03:39","392","0","34500","176"
"70639192","ID038","9.82091E+14","1706","2022/11/09 03:52","719","0","39500","188"
"70639170","ID016","9.82091E+14","1706","2022/11/09 04:05","422","0","37000","152"
"70639126","ID090","9.82091E+14","1706","2022/11/09 04:13","251","0","24500","53"
"70632844","ID039","9.82091E+14","1706","2022/11/09 04:17","105","0","32500","12"
"70639126","ID090","9.82091E+14","1706","2022/11/09 04:19","227","0","24500","34"
"70639192","ID038","9.82091E+14","1706","2022/11/09 04:30","356","0","39500","102"
"70634874","ID065","9.82091E+14","1706","2022/11/09 04:43","336","0","35500","133"
"70639170","ID016","9.82091E+14","1706","2022/11/09 05:41","804","0","36500","258"
"70639120","ID013","9.82091E+14","1706","2022/11/09 05:55","1135","0","31500","259"
"70639209","ID084","9.82091E+14","1706","2022/11/09 06:14","1984","0","38500","399"
"70639121","ID064","982091101339121a","1706","2022/11/09 07:38","775","0","35500","371"
"70634874","ID065","9.82091E+14","1706","2022/11/09 08:25","273","0","35500","117"
"70639173","ID054","9.82091E+14","1706","2022/11/09 08:31","259","0","34000","83"
"70639126","ID090","9.82091E+14","1706","2022/11/09 08:36","201","0","24000","120"
"70634149","ID088","9.82091E+14","1706","2022/11/09 08:39","2095","0","36500","437"
"70634874","ID065","9.82091E+14","1706","2022/11/09 09:15","228","0","35500","82"
"70639192","ID038","9.82091E+14","1706","2022/11/09 09:20","623","0","39500","140"
"70632844","ID039","9.82091E+14","1706","2022/11/09 09:34","544","0","31500","266"
"70639120","ID013","9.82091E+14","1706","2022/11/09 09:44","1788","0","31500","507"
"70634874","ID065","9.82091E+14","1706","2022/11/09 10:15","401","0","36000","126"
"70639173","ID054","9.82091E+14","1706","2022/11/09 10:22","964","0","34500","363"
"70621256","ID072","9.82091E+14","1706","2022/11/09 10:38","1263","0","35000","516"
"70639126","ID090","9.82091E+14","1706","2022/11/09 11:01","289","0","24500","139"
"70639209","ID084","9.82091E+14","1706","2022/11/09 11:06","2576","0","39500","558"
"70639121","ID064","982091101339121a","1706","2022/11/09 11:50","744","0","45000","387"
"70639170","ID016","9.82091E+14","1706","2022/11/09 12:03","238","0","68000","85"
"70639192","ID038","9.82091E+14","1706","2022/11/09 12:11","1732","0","39500","601"
"70634149","ID088","9.82091E+14","1706","2022/11/09 12:40","520","0","45500","63"
"70634149","ID088","9.82091E+14","1706","2022/11/09 12:48","21","0",,"9"
"70634149","ID088","9.82091E+14","1706","2022/11/09 12:49","5","0",,"9"
"70634149","ID088","9.82091E+14","1706","2022/11/09 12:49","582","0","53000","128"
"70634149","ID088","9.82091E+14","1706","2022/11/09 12:59","463","0","37500","83"
"70639126","ID090","9.82091E+14","1706","2022/11/09 13:08","153","0","24500","73"
"70639170","ID016","9.82091E+14","1706","2022/11/09 13:26","26","0",,"14"
"70639170","ID016","9.82091E+14","1706","2022/11/09 13:27","1311","0","36500","406"
"70639126","ID090","9.82091E+14","1706","2022/11/09 13:50","71","0","50500","25"
"70639126","ID090","9.82091E+14","1706","2022/11/09 13:52","60","0",,"70"
"70639126","ID090","9.82091E+14","1706","2022/11/09 13:53","30","0",,"42"
"70639126","ID090","9.82091E+14","1706","2022/11/09 13:53","75","0","46250","85"
"70639120","ID013","9.82091E+14","1706","2022/11/09 14:03","543","0","47500","136"
"70639120","ID013","9.82091E+14","1706","2022/11/09 14:12","119","0","45000","39"
"70639120","ID013","9.82091E+14","1706","2022/11/09 14:14","79","0","42500","34"
"70639120","ID013","9.82091E+14","1706","2022/11/09 14:15","52","0",,"19"
"70639120","ID013","9.82091E+14","1706","2022/11/09 14:16","5","0",,"8"
"70639120","ID013","9.82091E+14","1706","2022/11/09 14:16","48","0",,"20"
"70639120","ID013","9.82091E+14","1706","2022/11/09 14:17","69","0","43750","27"
"70639120","ID013","9.82091E+14","1706","2022/11/09 14:19","33","0",,"10"
"70621256","ID072","9.82091E+14","1706","2022/11/09 14:38","549","0","36000","231"
"70639173","ID054","9.82091E+14","1706","2022/11/09 14:56","1389","0","34500","561"
"70639209","ID084","9.82091E+14","1706","2022/11/09 15:19","43","0",,"1"
"70634149","ID088","9.82091E+14","1706","2022/11/09 15:20","370","0","38500","60"
"70634874","ID065","9.82091E+14","1706","2022/11/09 15:27","424","0","36000","246"
