source,step,metric,national_standard,legacy,nat_num,leg_num,diff,diff_pct
YANGXIANG,step1_read,n_records,383666,383666,383666,383666,0,0
YANGXIANG,step1_read,n_animals,200,200,200,200,0,0
YANGXIANG,step2_overall,n_after,346033,346033,346033,346033,0,0
YANGXIANG,step2_overall,n_animals_after,190,190,190,190,0,0
YANGXIANG,step2_overall,removed,37633,37633,37633,37633,0,0
YANGXIANG,step3_weight_qc,n_after,237041,194978,237041,194978,-42063,-17.75
YANGXIANG,step3_weight_qc,n_animals_after,126,100,126,100,-26,-20.63
YANGXIANG,step3_weight_qc,flag_weight_out_of_range,5204,5113,5204,5113,-91,-1.75
YANGXIANG,step3_weight_qc,flag_weight_low,4657,,4657,,,
YANGXIANG,step3_weight_qc,flag_daily_weight_low,1327,,1327,,,
YANGXIANG,step3_weight_qc,flag_growth_curve_poor,0,,0,,,
YANGXIANG,step3_weight_qc,is_outlier_wt,10077,8815,10077,8815,-1262,-12.52
YANGXIANG,step3_weight_qc,outlier_pct,4.25,4.52,4.25,4.52,0.27,6.35
YANGXIANG,step3_weight_qc,flag_SD_WT,,4,,4,,
YANGXIANG,step3_weight_qc,flag_RLM_WT,,4003,,4003,,
YANGXIANG,step3_weight_qc,flag_Gompertz_WT,,1088,,1088,,
YANGXIANG,step4_feed_qc,n_after,237041,194978,237041,194978,-42063,-17.75
YANGXIANG,step4_feed_qc,n_animals_after,126,100,126,100,-26,-20.63
YANGXIANG,step4_feed_qc,flag_feed_negative,0,,0,,,
YANGXIANG,step4_feed_qc,flag_feed_too_high,15,,15,,,
YANGXIANG,step4_feed_qc,flag_duration_negative,0,,0,,,
YANGXIANG,step4_feed_qc,flag_duration_too_long,749,,749,,,
YANGXIANG,step4_feed_qc,flag_duration_zero_with_feed,22,,22,,,
YANGXIANG,step4_feed_qc,flag_speed_too_slow,1907,,1907,,,
YANGXIANG,step4_feed_qc,flag_speed_too_fast,8283,,8283,,,
