source,group,flag_type,flag_name,count,pct
YANGXIANG,nat_only,is_outlier_wt,flag_weight_out_of_range,0,0
YANGXIANG,nat_only,is_outlier_wt,flag_weight_low,197,99.49
YANGXIANG,nat_only,is_outlier_wt,flag_daily_weight_low,1,0.51
YANGXIANG,nat_only,is_outlier_wt,flag_growth_curve_poor,0,0
YANGXIANG,nat_only,is_outlier_feed,flag_feed_negative,0,0
YANGXIANG,nat_only,is_outlier_feed,flag_feed_too_high,0,0
YANGXIANG,nat_only,is_outlier_feed,flag_duration_negative,0,0
YANGXIANG,nat_only,is_outlier_feed,flag_duration_too_long,421,9.16
YANGXIANG,nat_only,is_outlier_feed,flag_duration_zero_with_feed,16,0.35
YANGXIANG,nat_only,is_outlier_feed,flag_speed_too_slow,1144,24.89
YANGXIANG,nat_only,is_outlier_feed,flag_speed_too_fast,3514,76.46
YANGXIANG,nat_only,is_outlier_feed,flag_speed_extreme_low_feed,96,2.09
YANGXIANG,nat_only,is_outlier_feed,flag_speed_zero_long_duration,0,0
FIRE,nat_only,is_outlier_wt,flag_weight_out_of_range,0,0
FIRE,nat_only,is_outlier_wt,flag_weight_low,1059,99.91
FIRE,nat_only,is_outlier_wt,flag_daily_weight_low,1,0.09
FIRE,nat_only,is_outlier_wt,flag_growth_curve_poor,0,0
FIRE,nat_only,is_outlier_feed,flag_feed_negative,0,0
FIRE,nat_only,is_outlier_feed,flag_feed_too_high,0,0
FIRE,nat_only,is_outlier_feed,flag_duration_negative,0,0
FIRE,nat_only,is_outlier_feed,flag_duration_too_long,94,6.97
FIRE,nat_only,is_outlier_feed,flag_duration_zero_with_feed,0,0
FIRE,nat_only,is_outlier_feed,flag_speed_too_slow,61,4.53
FIRE,nat_only,is_outlier_feed,flag_speed_too_fast,1208,89.61
FIRE,nat_only,is_outlier_feed,flag_speed_extreme_low_feed,0,0
FIRE,nat_only,is_outlier_feed,flag_speed_zero_long_duration,0,0
Nedap,nat_only,is_outlier_wt,flag_weight_out_of_range,0,0
Nedap,nat_only,is_outlier_wt,flag_weight_low,11,100
Nedap,nat_only,is_outlier_wt,flag_daily_weight_low,0,0
Nedap,nat_only,is_outlier_wt,flag_growth_curve_poor,0,0
Nedap,nat_only,is_outlier_feed,flag_feed_negative,0,0
Nedap,nat_only,is_outlier_feed,flag_feed_too_high,0,0
Nedap,nat_only,is_outlier_feed,flag_duration_negative,0,0
Nedap,nat_only,is_outlier_feed,flag_duration_too_long,7,29.17
Nedap,nat_only,is_outlier_feed,flag_duration_zero_with_feed,0,0
Nedap,nat_only,is_outlier_feed,flag_speed_too_slow,17,70.83
Nedap,nat_only,is_outlier_feed,flag_speed_too_fast,1,4.17
Nedap,nat_only,is_outlier_feed,flag_speed_extreme_low_feed,0,0
Nedap,nat_only,is_outlier_feed,flag_speed_zero_long_duration,0,0
