method,flag,count
national_standard,flag_weight_out_of_range,1170
national_standard,flag_weight_low,6033
national_standard,flag_daily_weight_low,430
national_standard,flag_growth_curve_poor,0
national_standard,is_outlier_wt,7379
national_standard,flag_feed_negative,0
national_standard,flag_feed_too_high,0
national_standard,flag_duration_negative,0
national_standard,flag_duration_too_long,217
national_standard,flag_duration_zero_with_feed,0
national_standard,flag_speed_too_slow,116
national_standard,flag_speed_too_fast,2904
national_standard,flag_speed_extreme_low_feed,0
national_standard,flag_speed_zero_long_duration,0
national_standard,is_outlier_feed,3231
legacy,flag_weight_out_of_range,800
legacy,flag_SD_WT,0
legacy,flag_RLM_WT,2063
legacy,flag_Gompertz_WT,1869
legacy,flag_STL_FI,3223
legacy,is_outlier_wt,3320
legacy,is_outlier_fi_stl,0
legacy,flag_feed_out_of_range,0
legacy,flag_percentile_low,1307
legacy,flag_percentile_high,1760
legacy,is_outlier_feed,5591
