source,step,metric,national_standard,legacy,nat_num,leg_num,diff,diff_pct
Nedap,step1_read,n_records,55568,55568,55568,55568,0,0
Nedap,step1_read,n_animals,45,45,45,45,0,0
Nedap,step2_overall,n_after,27830,27830,27830,27830,0,0
Nedap,step2_overall,n_animals_after,42,42,42,42,0,0
Nedap,step2_overall,removed,27738,27738,27738,27738,0,0
Nedap,step3_weight_qc,n_after,1612,1612,1612,1612,0,0
Nedap,step3_weight_qc,n_animals_after,3,3,3,3,0,0
Nedap,step3_weight_qc,flag_weight_out_of_range,0,0,0,0,0,0
Nedap,step3_weight_qc,flag_weight_low,12,,12,,,
Nedap,step3_weight_qc,flag_daily_weight_low,0,,0,,,
Nedap,step3_weight_qc,flag_growth_curve_poor,0,,0,,,
Nedap,step3_weight_qc,is_outlier_wt,12,17,12,17,5,41.67
Nedap,step3_weight_qc,outlier_pct,0.74,1.05,0.74,1.05,0.31,41.89
Nedap,step3_weight_qc,flag_SD_WT,,0,,0,,
Nedap,step3_weight_qc,flag_RLM_WT,,6,,6,,
Nedap,step3_weight_qc,flag_Gompertz_WT,,17,,17,,
Nedap,step4_feed_qc,n_after,1612,1612,1612,1612,0,0
Nedap,step4_feed_qc,n_animals_after,3,3,3,3,0,0
Nedap,step4_feed_qc,flag_feed_negative,0,,0,,,
Nedap,step4_feed_qc,flag_feed_too_high,0,,0,,,
Nedap,step4_feed_qc,flag_duration_negative,0,,0,,,
Nedap,step4_feed_qc,flag_duration_too_long,7,,7,,,
Nedap,step4_feed_qc,flag_duration_zero_with_feed,0,,0,,,
Nedap,step4_feed_qc,flag_speed_too_slow,23,,23,,,
Nedap,step4_feed_qc,flag_speed_too_fast,1,,1,,,
Nedap,step4_feed_qc,flag_speed_extreme_low_feed,0,,0,,,
Nedap,step4_feed_qc,flag_speed_zero_long_duration,0,,0,,,
Nedap,step4_feed_qc,is_outlier_feed,31,46,31,46,15,48.39
Nedap,step4_feed_qc,outlier_pct,1.92,2.85,1.92,2.85,0.93,48.44
Nedap,step4_feed_qc,flag_STL_FI,,0,,0,,
Nedap,step4_feed_qc,flag_feed_out_of_range,,0,,0,,
Nedap,step4_feed_qc,flag_percentile_low,,23,,23,,
Nedap,step4_feed_qc,flag_percentile_high,,23,,23,,
Nedap,step5_daily,n_daily,201,201,201,201,0,0
Nedap,step5_daily,n_animals,3,3,3,3,0,0
Nedap,step5_5_growth,deleted_animals,0,0,0,0,0,0
Nedap,step5_5_growth,remaining_animals,3,3,3,3,0,0
Nedap,step6_impute,imputed_feed,0,0,0,0,0,0
Nedap,step6_impute,imputed_wt,0,4,0,4,4,400
Nedap,step6_impute,n_daily,201,201,201,201,0,0
Nedap,step6_impute,n_animals,3,3,3,3,0,0
Nedap,step7_phenotype,n_animals,3,3,3,3,0,0
Nedap,step7_phenotype,mean_ADFI_g,2806.6,2785.6,2806.6,2785.6,-21,-0.75
Nedap,step7_phenotype,mean_ADG_g,1024,1018.1,1024,1018.1,-5.89999999999998,-0.58
Nedap,step7_phenotype,mean_FCR,3.062,3.057,3.062,3.057,-0.00499999999999989,-0.16
Nedap,step7_phenotype,median_FCR,3.062,3.002,3.062,3.002,-0.0600000000000001,-1.96
Nedap,step7_phenotype,sd_FCR,0.197,0.179,0.197,0.179,-0.018,-9.14
Nedap,step7_phenotype,FCR_NA_count,0,0,0,0,0,0
