error_type,count,percentage,severity,method
flag_speed_too_fast,7787,3.47,LOW,national_standard
flag_weight_out_of_range,4983,2.22,HIGH,national_standard
flag_weight_low,4386,1.95,MEDIUM,national_standard
flag_speed_too_slow,1782,0.79,LOW,national_standard
flag_daily_weight_low,1306,0.58,MEDIUM,national_standard
flag_duration_too_long,730,0.32,LOW,national_standard
flag_speed_extreme_low_feed,151,0.07,LOW,national_standard
flag_duration_zero_with_feed,22,0.01,LOW,national_standard
flag_feed_too_high,13,0.01,MEDIUM,national_standard
flag_growth_curve_poor,0,0,HIGH,national_standard
flag_feed_negative,0,0,LOW,national_standard
flag_duration_negative,0,0,LOW,national_standard
flag_speed_zero_long_duration,0,0,LOW,national_standard
flag_STL_FI,10957,5.67,LOW,legacy
flag_weight_out_of_range,5067,2.62,HIGH,legacy
flag_percentile_high,4020,2.08,LOW,legacy
flag_RLM_WT,3993,2.07,LOW,legacy
flag_percentile_low,2458,1.27,LOW,legacy
flag_Gompertz_WT,1088,0.56,LOW,legacy
flag_feed_out_of_range,14,0.01,HIGH,legacy
flag_SD_WT,4,0,LOW,legacy
is_outlier_fi_stl,0,0,LOW,legacy
