animal_id,record_date,daily_feed_g,daily_weight_g,age_day,visits_n,visits_n_valid,total_duration_sec,location,n_outlier_wt,n_outlier_feed,has_feed_out_of_range_today,is_imputed_wt,is_imputed_feed
ID002,2025-09-17,636,,,8,8,2181,99,8,0,FALSE,TRUE,FALSE
ID002,2025-09-18,538,,,7,7,1310,99,7,0,FALSE,TRUE,FALSE
ID002,2025-09-19,658,,,6,6,2733,99,6,0,FALSE,TRUE,FALSE
ID002,2025-09-20,565,43900,,9,9,1930,99,0,0,FALSE,FALSE,FALSE
ID002,2025-09-21,595,37100,,7,7,1707,99,0,0,FALSE,FALSE,FALSE
ID002,2025-09-22,303,38900,,2,0,0,99,0,2,FALSE,FALSE,FALSE
ID002,2025-09-23,771,39600,,5,5,1952,99,0,0,FALSE,FALSE,FALSE
ID002,2025-09-24,1898,39900,,9,9,4819,99,0,0,FALSE,FALSE,FALSE
ID002,2025-09-25,594,41200,,7,7,1619,99,0,0,FALSE,FALSE,FALSE
ID002,2025-09-26,378,42000,,3,3,1778,99,0,0,FALSE,FALSE,FALSE
ID002,2025-09-27,493,43100,,3,3,1484,99,0,0,FALSE,FALSE,FALSE
ID002,2025-09-28,639,43900,,5,5,2002,99,0,0,FALSE,FALSE,FALSE
ID002,2025-09-29,705,45700,,4,4,3066,99,0,0,FALSE,FALSE,FALSE
ID002,2025-09-30,483,45800,,2,2,1780,99,0,0,FALSE,FALSE,FALSE
ID002,2025-10-01,223,46100,,3,0,0,99,0,3,FALSE,FALSE,FALSE
ID002,2025-10-02,515,47700,,3,3,2686,99,0,0,FALSE,FALSE,FALSE
ID002,2025-10-03,859,48800,,5,5,3836,99,0,0,FALSE,FALSE,FALSE
ID002,2025-10-04,727,49300,,3,3,2806,99,0,0,FALSE,FALSE,FALSE
ID002,2025-10-05,612,51200,,3,3,2719,99,0,0,FALSE,FALSE,FALSE
ID002,2025-10-06,690,51500,,7,7,1996,99,0,0,FALSE,FALSE,FALSE
ID002,2025-10-07,329,52100,,4,4,3387,99,0,0,FALSE,FALSE,FALSE
ID002,2025-10-08,726,54200,,7,7,3256,99,0,0,FALSE,FALSE,FALSE
ID002,2025-10-09,1128,55400,,5,5,2961,99,0,0,FALSE,FALSE,FALSE
ID002,2025-10-10,753,56700,,5,5,3709,99,0,0,FALSE,FALSE,FALSE
ID002,2025-10-11,950,58100,,7,7,3267,99,0,0,FALSE,FALSE,FALSE
ID002,2025-10-12,1379,58100,,7,7,3481,99,0,0,FALSE,FALSE,FALSE
ID002,2025-10-13,1038,60100,,6,6,3013,99,0,0,FALSE,FALSE,FALSE
ID002,2025-10-14,1490,60950,,6,6,3262,99,0,0,FALSE,FALSE,FALSE
ID002,2025-10-15,405,61750,,4,4,1866,99,0,0,FALSE,FALSE,FALSE
ID002,2025-10-16,831,62200,,5,5,1233,99,0,0,FALSE,FALSE,FALSE
ID002,2025-10-17,367,62400,,5,5,2256,99,0,0,FALSE,FALSE,FALSE
ID002,2025-10-18,612,65100,,3,3,1217,99,0,0,FALSE,FALSE,FALSE
ID002,2025-10-19,1688,64500,,10,10,3551,99,0,0,FALSE,FALSE,FALSE
ID002,2025-10-20,1502,66650,,4,4,2294,99,0,0,FALSE,FALSE,FALSE
ID002,2025-10-21,1580,67100,,9,9,3429,99,0,0,FALSE,FALSE,FALSE
ID002,2025-10-22,742,69000,,7,7,2697,99,0,0,FALSE,FALSE,FALSE
ID002,2025-10-23,772,68950,,4,4,2474,99,0,0,FALSE,FALSE,FALSE
ID002,2025-10-24,1584,71200,,10,10,3998,99,0,0,FALSE,FALSE,FALSE
ID002,2025-10-25,687,70000,,6,6,2096,99,0,0,FALSE,FALSE,FALSE
ID002,2025-10-26,910,71950,,6,6,1995,99,0,0,FALSE,FALSE,FALSE
ID002,2025-10-27,1575,73000,,5,5,6392,99,0,0,FALSE,FALSE,FALSE
ID002,2025-10-28,1346,75000,,7,7,3347,99,0,0,FALSE,FALSE,FALSE
ID002,2025-10-29,640,74100,,5,5,2530,99,0,0,FALSE,FALSE,FALSE
ID002,2025-10-30,1386,77700,,7,7,2751,99,0,0,FALSE,FALSE,FALSE
ID002,2025-10-31,1171,77950,,6,6,2335,99,0,0,FALSE,FALSE,FALSE
ID002,2025-11-01,2016,78100,,6,6,2769,99,0,0,FALSE,FALSE,FALSE
ID002,2025-11-02,1328,80900,,6,6,2563,99,0,0,FALSE,FALSE,FALSE
ID002,2025-11-03,891,81600,,7,7,3091,99,0,0,FALSE,FALSE,FALSE
ID002,2025-11-04,1067,82900,,6,6,2619,99,0,0,FALSE,FALSE,FALSE
ID002,2025-11-05,2386,85300,,6,6,1724,99,0,0,FALSE,FALSE,FALSE
ID002,2025-11-06,1827,88100,,7,7,2435,99,0,0,FALSE,FALSE,FALSE
ID002,2025-11-07,2288,87950,,4,4,2450,99,0,0,FALSE,FALSE,FALSE
ID002,2025-11-08,2341,88500,,6,6,2596,99,0,0,FALSE,FALSE,FALSE
ID002,2025-11-09,2162,90200,,8,8,2440,99,0,0,FALSE,FALSE,FALSE
ID002,2025-11-10,1329,90500,,10,10,1496,99,0,0,FALSE,FALSE,FALSE
ID002,2025-11-11,2365,91200,,13,13,2295,99,0,0,FALSE,FALSE,FALSE
ID002,2025-11-12,1804,92000,,3,3,1167,99,0,0,FALSE,FALSE,FALSE
ID002,2025-11-13,1093,96000,,1,1,1039,99,0,0,FALSE,FALSE,FALSE
ID002,2025-11-14,2658,98700,,5,5,2460,99,0,0,FALSE,FALSE,FALSE
ID002,2025-11-15,164,98200,,3,0,0,99,0,3,FALSE,FALSE,FALSE
ID002,2025-11-16,2038,99500,,7,7,2042,99,0,0,FALSE,FALSE,FALSE
ID002,2025-11-17,1527,99400,,5,5,1508,99,0,0,FALSE,FALSE,FALSE
ID002,2025-11-18,2374,101050,,8,8,2561,99,0,0,FALSE,FALSE,FALSE
ID002,2025-11-19,2236,99500,,9,9,2019,99,0,0,FALSE,FALSE,FALSE
ID002,2025-11-20,2893,101200,,7,7,2573,99,0,0,FALSE,FALSE,FALSE
ID002,2025-11-21,2391,101250,,10,10,2068,99,0,0,FALSE,FALSE,FALSE
ID002,2025-11-22,1013,102700,,4,4,2542,99,0,0,FALSE,FALSE,FALSE
