animal_id,record_date,daily_feed_g,daily_weight_g,age_day,visits_n,visits_n_valid,total_duration_sec,location,n_outlier_wt,n_outlier_feed,has_feed_out_of_range_today,is_imputed_wt,is_imputed_feed,cum_feed,weight_kg,pred_cum_feed,pred_daily_feed
ID001,2025-09-16,549,41088.713803911,,2,2,980,96,2,0,FALSE,TRUE,FALSE,,,,
ID001,2025-09-17,532,40737.6145736101,,2,2,1880,96,2,0,FALSE,TRUE,FALSE,,,,
ID001,2025-09-18,1089,40403.6947349457,,3,3,1856,96,3,0,FALSE,TRUE,FALSE,,,,
ID001,2025-09-19,1619,40097.4875386517,,7,7,4467,96,7,0,FALSE,TRUE,FALSE,,,,
ID001,2025-09-20,1170,41352.6868854998,,5,5,3392,96,1,0,FALSE,FALSE,FALSE,,,,
ID001,2025-09-21,971,36470.5219254685,,5,5,3264,96,0,0,FALSE,FALSE,FALSE,,,,
ID001,2025-09-22,1838,39175.5372948259,,5,5,3555,96,0,0,FALSE,FALSE,FALSE,,,,
ID001,2025-09-23,1004,38448.8163150165,,3,3,2348,96,0,0,FALSE,FALSE,FALSE,,,,
ID001,2025-09-24,886,39270.8688708459,,4,4,1770,96,1,0,FALSE,FALSE,FALSE,,,,
ID001,2025-09-25,1494,40175,,4,4,2684,96,0,0,FALSE,FALSE,FALSE,,,,
ID001,2025-09-26,2108,41900,,12,12,4678,96,0,0,FALSE,FALSE,FALSE,,,,
ID001,2025-09-27,640,41733.3333333333,,3,3,1535,96,0,0,FALSE,FALSE,FALSE,,,,
ID001,2025-09-28,2149,42892.3285386108,,8,8,3003,96,0,0,FALSE,FALSE,FALSE,,,,
ID001,2025-09-29,1390,43600,,2,2,2202,96,0,0,FALSE,FALSE,FALSE,,,,
ID001,2025-09-30,2364,45054.236603455,,7,7,3826,96,0,0,FALSE,FALSE,FALSE,,,,
ID001,2025-10-01,1877,45100,,5,5,3040,96,0,0,FALSE,FALSE,FALSE,,,,
ID001,2025-10-02,2191,46633.3333333333,,6,6,3643,96,0,0,FALSE,FALSE,FALSE,,,,
ID001,2025-10-03,2098,47557.1428571429,,7,7,3170,96,0,0,FALSE,FALSE,FALSE,,,,
ID001,2025-10-04,2009,47298.4478900311,,5,5,3258,96,1,0,FALSE,FALSE,FALSE,,,,
ID001,2025-10-05,2138,49480,,5,5,3025,96,0,0,FALSE,FALSE,FALSE,,,,
ID001,2025-10-06,2149,49494.0819770417,,8,8,3236,96,0,0,FALSE,FALSE,FALSE,,,,
ID001,2025-10-07,2019,51700,,8,8,3082,96,0,0,FALSE,FALSE,FALSE,,,,
ID001,2025-10-08,1974,51060,,5,5,2923,96,0,0,FALSE,FALSE,FALSE,,,,
ID001,2025-10-09,1252,52250,,2,2,1738,96,0,0,FALSE,FALSE,FALSE,,,,
