animal_id,start_date,end_date,test_days,start_weight_g,end_weight_g,total_feed_g,AGE,ADG_g,ADFI_g,FCR,stage_label,stage_min,stage_max
ID002,2025-12-07,2026-02-16,72,33878.6,98303.9090909091,156144.339288402,150,991.158601398601,2168.67137900558,2.42364905177358,30-100kg,30,100
ID003,2025-12-06,2026-02-10,67,31088.6332762846,94376.4736842105,162797.054741861,143,1029.07057573863,2429.80678719196,2.5723275386321,30-100kg,30,100
ID004,2025-12-09,2026-02-20,74,31061,95364.125,167021.079808581,146,959.748134328358,2257.04161903488,2.59740222280925,30-100kg,30,100
ID005,2025-12-02,2026-02-09,70,34643.0500593289,98924.0555707173,164944.003979304,143,1004.39071111544,2356.34291399006,2.56598356959555,30-100kg,30,100
ID006,2025-12-09,2026-02-12,66,34445.6320143295,94696.052631579,175024.408073456,145,1021.19356978389,2651.88497080994,2.90494914857652,30-100kg,30,100
ID007,2025-12-04,2026-02-05,64,34673.9090909091,93426.0769230769,153150.142996672,138,1030.73978652926,2392.97098432299,2.60671475875005,30-100kg,30,100
ID008,2025-12-02,2026-01-30,60,35403.9684304229,98568.6071224985,151648.992133062,132,1226.49783868108,2527.4832022177,2.40085268075929,30-100kg,30,100
ID009,2025-12-02,2026-02-07,68,33672.5928275092,96717.7474633435,185010.961784352,141,1033.52712517761,2720.74943800517,2.93457860247983,30-100kg,30,100
ID010,2025-12-16,2026-03-01,76,34281.7214083425,94457.2307692308,192589.671361942,162,878.474589210047,2534.07462318344,3.20046599368077,30-100kg,30,100
ID011,2025-12-08,2026-02-22,77,31092.5677861799,96822,214621.313272091,156,938.991888768859,2787.28978275443,3.26522390417007,30-100kg,30,100
ID012,2025-12-06,2026-02-08,65,31497.7449589972,96110.5549067325,221843.684852072,134,1114.01396461613,3412.97976695495,3.43343193140059,30-100kg,30,100
ID013,2025-12-09,2026-02-15,69,34687.5106382979,98227.8203812912,169124.134703211,142,1050.2530536032,2451.07441598856,2.66168256634696,30-100kg,30,100
ID015,2025-12-09,2026-02-16,70,32352.4409090909,96335.3904164772,165906.074755388,149,1015.60237313312,2370.08678221983,2.59297322228378,30-100kg,30,100
ID017,2025-12-05,2026-02-16,74,32030.4870631615,98053.0871055507,161838.901145423,150,978.112593220581,2187.01217764085,2.45126518860989,30-100kg,30,100
ID018,2025-12-24,2026-03-07,74,33447.1666666667,98607.9184239941,166424.938650876,161,972.548533691454,2248.98565744428,2.55406719785368,30-100kg,30,100
ID019,2025-12-08,2026-02-19,74,31384,97291.2154316278,211989.698821132,152,991.085946340267,2864.72565974503,3.21648695719895,30-100kg,30,100
ID020,2025-12-09,2026-02-19,73,32452.0454545455,94381.1176470588,178255.909012361,153,931.264243496442,2441.86176729262,2.87838817378424,30-100kg,30,100
ID021,2025-12-02,2026-03-03,92,30377.9464600376,98393.75,202092.486711751,165,804.920751952218,2196.65746425816,2.97125779882924,30-100kg,30,100
ID023,2025-12-02,2026-02-08,69,31430.518734363,96967.6363636364,167613.146269949,140,1040.27170840116,2429.17603289781,2.5575300277637,30-100kg,30,100
ID024,2025-12-21,2026-03-17,87,33506.2673394989,99288.3310430225,193761.343820685,170,792.554984379802,2227.14188299638,2.9455041832369,30-100kg,30,100
ID027,2025-12-10,2026-02-16,69,30836.5233523752,96858.4736842105,195716.810307748,142,1082.32705462025,2836.47551170649,2.96442030754997,30-100kg,30,100
ID028,2025-12-10,2026-02-19,72,31411.3,98621.7200174084,179978.36169335,152,1066.83206376839,2499.6994679632,2.67783420557011,30-100kg,30,100
ID029,2025-12-14,2026-02-13,62,41592.94837293,95818.5423869985,155272.443514762,147,1004.17766692719,2504.39425023809,2.86345306746621,30-100kg,30,100
ID030,2025-12-04,2026-02-16,75,35732.3724031129,95616.2665742266,163679.337372687,149,855.484202444481,2182.39116496916,2.73327811489657,30-100kg,30,100
ID032,2025-12-15,2026-02-27,75,33065.7034173926,97885.0067318501,192867.932145068,157,967.452288275484,2571.57242860091,2.97547061265699,30-100kg,30,100
ID033,2025-12-05,2026-02-18,76,33684.5416211577,96796.25,210911.052116867,151,928.113358512387,2775.14542259036,3.34186884707392,30-100kg,30,100
ID034,2025-12-09,2026-02-12,66,31376.8803479265,95944.6470588235,176898.154707732,145,1076.12944518162,2680.27507132927,2.73972856301187,30-100kg,30,100
ID035,2025-12-09,2026-02-22,76,33215.8461538462,96530,195305.723317635,154,917.596432552954,2569.81214891625,3.08470873340905,30-100kg,30,100
ID036,2025-12-11,2026-02-19,71,33320.7115009747,96524.0360781949,163803.848150347,153,987.551946519066,2307.09645282178,2.59169670655877,30-100kg,30,100
