animal_id,start_date,end_date,test_days,start_weight_g,end_weight_g,total_feed_g,AGE,ADG_g_lm,ADG_r2,ADG_pval,ADFI_g_lm,ADFI_r2,ADFI_pval,FCR_lm
ID002,2025-09-17,2025-12-22,97,39250,133000,191998,,1057.63284326121,0.995010175933453,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107609305701,1913.97821112981,0.903650803001439,0.0000000000000000000000000000000000000000000000000463707054867163,1.80968114154631
ID004,2025-09-20,2025-12-22,94,32300,120550,216503,,1004.63226528917,0.992321926307273,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000438640459321224,2283.78274753459,0.948101380227998,0.000000000000000000000000000000000000000000000000000000000000671975219593039,2.27325243916712
ID006,2025-09-17,2025-12-24,99,32500,128450,264256,,1087.93113370212,0.99814310463274,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104578339789557,2821.98014425608,0.982144869523127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000995704654458559,2.59389593406816
ID007,2025-09-15,2025-12-22,99,32650,115850,235121,,956.427519052765,0.99638314451281,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000669982975205182,2505.39975249177,0.995033915260493,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000424564345175361,2.61953959142988
ID013,2025-10-09,2025-12-25,78,45500,107850,185065,,904.553674173927,0.987452798264143,0.0000000000000000000000000000000000000000000000000000000000000000000000000509984855527384,2518.26080248865,0.990217379363972,0.00000000000000000000000000000000000000000000000000000000000000000000000000000397633080125715,2.78398161920952
ID020,2025-09-14,2025-12-26,104,29500,112400,226843,,884.056917970495,0.985992221404151,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000166847832037583,2243.41785981009,0.967979704135843,0.00000000000000000000000000000000000000000000000000000000000000000000000000000478846979331059,2.53763961822757
ID022,2025-09-19,2025-12-22,95,33800,113100,312927,,933.418253079508,0.988778517935629,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000176305145633555,3445.1764137738,0.99795574778245,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000719149778283263,3.69092462291965
ID023,2025-09-17,2025-12-22,97,32700,118000,200995,,996.599516095098,0.986677658165497,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000679773974574694,2048.9376314959,0.936895782675942,0.0000000000000000000000000000000000000000000000000000000000848324423772513,2.05592878423632
ID028,2025-09-12,2025-12-26,106,30100,106400,213828,,801.31896859802,0.975224814313748,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000992613037043959,2055.7842236517,0.974155786276146,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000856406861331088,2.56550051129887
ID029,2025-09-17,2025-12-22,97,36600,131900,172865,,1072.29311109412,0.990289606074421,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000211406667161203,1652.76298400923,0.861000305325512,0.0000000000000000000000000000000000000000125440668389171,1.54133507611816
ID031,2025-09-19,2025-12-26,99,30900,112300,232353,,927.078718252537,0.989876123666457,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000147124675082141,2481.03774921436,0.992969860281934,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000528478117842281,2.67618887195567
ID033,2025-09-13,2025-12-24,103,29600,111900,245897,,876.516633706839,0.996660643549666,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000211370942496637,2456.57126629688,0.97685936163962,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000880211528045118,2.80265219372723
ID034,2025-09-20,2025-12-22,94,30400,109900,276029,,927.031932955243,0.994833582134645,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000532948407755979,3047.18950980746,0.999283527973084,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000181210492002497,3.28703834407674
